City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Waddan,LY,93.31,clear sky,29.1614,16.139,محل الشريف محمد العايب
4,Atuona,PF,77.2,scattered clouds,-9.8,-139.0333,Villa Enata
6,Mumford,GH,77.22,scattered clouds,5.2618,-0.759,Spanish Villa
12,Hithadhoo,MV,80.82,broken clouds,-0.6,73.0833,Scoop Guest House
13,Yongchang,CN,75.65,light rain,30.0381,119.7317,Xinxin Honglou Hotel
17,Worthington,US,84.42,overcast clouds,40.0931,-83.018,Sheraton Suites Columbus Worthington
19,Samarai,PG,78.8,light rain,-10.6167,150.6667,Nuli Sapi
21,Half Moon Bay,US,76.05,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
27,Butaritari,KI,81.72,light rain,3.0707,172.7902,Isles Sunset Lodge
29,Salalah,OM,78.66,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
37,Ponta Do Sol,PT,81.72,clear sky,32.6667,-17.1,Hotel do Campo
39,Malibu,US,84.56,overcast clouds,34.005,-118.8101,Malibu Country Inn
41,Kavieng,PG,81.03,broken clouds,-2.5744,150.7967,Nusa Island Retreat
42,Pyapon,MM,79.41,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
44,Alappuzha,IN,78.1,overcast clouds,9.49,76.3264,Panoramic Sea Resort
49,Manoharpur,IN,86.95,overcast clouds,27.3,75.95,कैथल हरियाणा होटल
52,Belmonte,BR,77.0,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
53,Dhone,IN,79.9,broken clouds,15.4167,77.8833,Pennera Rakesh
58,Carballo,ES,77.07,broken clouds,43.213,-8.691,Pazo do Souto
59,Ranong,TH,78.96,light rain,9.9658,98.6348,Tinidee Hotel@Ranong
63,Kenora,CA,76.39,few clouds,49.8167,-94.4337,Maynard Lake Lodge
64,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
66,Limoncito,BO,85.78,few clouds,-18.0167,-63.4,Tom´s Hauss
73,Touros,BR,85.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
79,Alcudia,ES,86.38,broken clouds,39.8532,3.1214,Zafiro Tropic
81,Kapaa,US,79.12,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
83,Nabire,ID,75.79,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
85,Sola,VU,79.5,scattered clouds,-13.8833,167.55,Leumerus Bungalows
86,Harper,LR,79.02,overcast clouds,4.375,-7.7169,Screensaver
88,Lompoc,US,77.13,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
90,Makakilo City,US,76.57,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
91,Hobyo,SO,77.34,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
92,Kinwat,IN,78.22,light rain,19.6333,78.2,Iqbal Lodge
94,Eldorado,BR,85.44,clear sky,-23.7869,-54.2836,Villa Verde Hotel
98,Lata,PT,78.04,overcast clouds,40.1629,-8.3327,Casa Maquia
100,Amlame,TG,78.6,light rain,7.4667,0.9,Centre d’Acceuil AMITIE AIFFRES-AMLAME
109,Seoul,KR,81.79,clear sky,37.5683,126.9778,롯데호텔 서울
110,Virginia Beach,US,88.09,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
113,Buala,SB,79.34,light rain,-8.145,159.5921,Maringe Lagoon Lodge
116,Victoria,HK,86.38,clear sky,22.2855,114.1577,Mini Hotel Central
118,Mastic Beach,US,76.98,overcast clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
121,Bonthe,SL,79.14,light rain,7.5264,-12.505,Bonthe Holiday Village
122,Bethel,US,76.01,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
123,Pangai,TO,77.04,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
124,Cockburn Town,TC,82.53,clear sky,21.4612,-71.1419,Osprey Beach Hotel
125,Manzanillo,CU,88.59,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
126,Katsuura,JP,81.1,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
128,Biak,ID,75.2,broken clouds,-0.9131,122.8766,Penginapan Kim
129,Am Timan,TD,77.2,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
130,Hilo,US,75.79,mist,19.7297,-155.09,Hilo Hawaiian Hotel
132,Bud,US,85.51,broken clouds,39.447,-86.1758,Ted McQuinn Trust
133,Morondava,MG,75.27,few clouds,-20.2833,44.2833,La Case Bambou
134,Stryn,NO,79.14,scattered clouds,61.9045,6.7226,Visnes Hotel Stryn
136,Port Blair,IN,82.33,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
140,Santo Augusto,BR,76.46,broken clouds,-27.8508,-53.7772,Hotel Marco Polo
142,Visby,SE,76.05,clear sky,57.6409,18.296,Best Western Solhem Hotel Visby
143,Ixtapa,MX,88.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
145,Kushima,JP,80.11,overcast clouds,31.4583,131.2333,Hanaoka
148,Portland,US,76.69,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
149,Progreso,MX,93.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
150,Komsomolskiy,UZ,90.32,clear sky,40.4272,71.7189,Ikathouse
152,Puerto Ayacucho,VE,84.0,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
153,Oshkosh,US,84.38,clear sky,44.0247,-88.5426,Best Western Premier Waterfront Hotel & Convention Center
155,Kavaratti,IN,80.91,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
