City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,New Norfolk,AU,-42.7826,147.0587,42.3,72,74,3.0,light rain
1,Verkhnetulomskiy,RU,68.6073,31.7962,55.53,65,74,6.85,broken clouds
2,Pimentel,PE,-6.8367,-79.9342,70.09,81,90,4.0,overcast clouds
3,Waddan,LY,29.1614,16.139,93.31,20,0,13.87,clear sky
4,Atuona,PF,-9.8,-139.0333,77.2,72,45,23.53,scattered clouds
5,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,100,90,21.85,light rain
6,Mumford,GH,5.2618,-0.759,77.22,76,35,14.94,scattered clouds
7,Bredasdorp,ZA,-34.5322,20.0403,56.28,76,100,3.44,overcast clouds
8,Carnarvon,AU,-24.8667,113.6333,59.07,69,0,9.22,clear sky
9,Port Alfred,ZA,-33.5906,26.891,61.45,51,25,11.18,scattered clouds
10,Safonovo,RU,55.15,33.2167,66.74,66,96,5.68,overcast clouds
11,Vaini,TO,-21.2,-175.2,68.16,94,20,2.3,fog
12,Hithadhoo,MV,-0.6,73.0833,80.82,76,84,3.2,broken clouds
13,Yongchang,CN,30.0381,119.7317,75.65,96,100,16.2,light rain
14,Bolshaya Dzhalga,RU,45.9695,42.6966,80.71,36,60,4.68,broken clouds
15,Punta Arenas,CL,-53.15,-70.9167,39.31,81,20,14.97,few clouds
16,Derzhavinsk,KZ,51.1,66.3167,70.43,44,1,8.25,clear sky
17,Worthington,US,40.0931,-83.018,84.42,80,99,1.99,overcast clouds
18,Lebu,CL,-37.6167,-73.65,50.76,91,96,6.4,overcast clouds
19,Samarai,PG,-10.6167,150.6667,78.8,80,100,18.84,light rain
20,Busselton,AU,-33.65,115.3333,58.08,66,37,18.66,scattered clouds
21,Half Moon Bay,US,37.4636,-122.4286,76.05,77,20,1.01,few clouds
22,Nikolskoye,RU,59.7035,30.7861,71.49,54,59,3.49,light rain
23,Payo,ID,-3.7508,103.6372,72.55,85,0,2.86,clear sky
